96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
96	96	96	96
93	93	93	93
90	90	90	90
87	87	87	87
84	84	84	84
81	81	81	81
78	78	78	78
75	75	75	75
72	72	72	72
69	69	69	69
66	66	66	66
63	63	63	63
60	60	60	60
58	58	58	58
56	56	56	56
54	54	54	54
52	52	52	52
50	50	50	50
48	48	48	48
46	46	46	46
44	44	44	44
42	42	42	42
41	41	41	41
40	40	40	40
39	39	39	39
38	38	38	38
37	37	37	37
36	36	36	36
35	35	35	35
34	34	34	34
33	33	33	33
32	32	32	32
31	31	31	31
30	30	30	30
29	29	29	29
28	28	28	28
27	27	27	27
26	26	26	26
25	25	25	25
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
24	24	24	24
