100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
100	100	100	100
99	99	99	99
97	97	97	97
94	94	94	94
91	91	91	91
88	88	88	88
85	85	85	85
82	82	82	82
79	79	79	79
76	76	76	76
72	72	72	72
68	68	68	68
64	64	64	64
60	60	60	60
56	56	56	56
52	52	52	52
48	48	48	48
44	44	44	44
40	40	40	40
36	36	36	36
32	32	32	32
28	28	28	28
24	24	24	24
20	20	20	20
18	18	18	18
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
16	16	16	16
